holo_food_id	ena_sample	ena_run	ena_experiment	project	omics
CB03.13F1a	ERS10991819	ERR9288363	ERX8830013	Chicken HostG	HostGenomics
CB03.16F1a	ERS10991822	ERR9285595	ERX8827772	Chicken HostG	HostGenomics
CB04.03F1a	ERS10991826	ERR9288571	ERX8830221	Chicken HostG	HostGenomics
CB05.02F1a	ERS10991835	ERR9286273	ERX8828378	Chicken HostG	HostGenomics
CB05.03F1a	ERS10991837	ERR9353203	ERX8895136	Chicken HostG	HostGenomics
CB05.09F1a	ERS10991840	ERR9286940	ERX8829045	Chicken HostG	HostGenomics
CB05.15F1a	ERS10991843	ERR9288544	ERX8830194	Chicken HostG	HostGenomics
CB06.02F1a	ERS10991846	ERR9353500	ERX8895433	Chicken HostG	HostGenomics
CB06.16F1a	ERS10991851	ERR9285407	ERX8827584	Chicken HostG	HostGenomics
CB07.01F1a	ERS10991855	ERR9288570	ERX8830220	Chicken HostG	HostGenomics
CB07.06F1a	ERS10991857	ERR9285766	ERX8827879	Chicken HostG	HostGenomics
CB07.09F1a	ERS10991859	ERR9286232	ERX8828337	Chicken HostG	HostGenomics
CB07.14F1a	ERS10991863	ERR9356866	ERX8898768	Chicken HostG	HostGenomics
CB08.08F1a	ERS10991870	ERR9286239	ERX8828344	Chicken HostG	HostGenomics
CB09.02F1a	ERS10991876	ERR9353256	ERX8895189	Chicken HostG	HostGenomics
CB09.12F1a	ERS10991879	ERR9288308	ERX8829958	Chicken HostG	HostGenomics
CB10.01F1a	ERS10991884	ERR9288287	ERX8829937	Chicken HostG	HostGenomics
CB10.09F1a	ERS10991888	ERR9353860	ERX8895793	Chicken HostG	HostGenomics
CB10.16F1a	ERS10991891	ERR9286194	ERX8828299	Chicken HostG	HostGenomics
CB10.17F1a	ERS10991893	ERR9353943	ERX8895876	Chicken HostG	HostGenomics
CB11.08F1a	ERS10991899	ERR9286980	ERX8829085	Chicken HostG	HostGenomics
CB11.15F1a	ERS10991903	ERR9287895	ERX8829545	Chicken HostG	HostGenomics
CB12.09F1a	ERS10991908	ERR9353920	ERX8895853	Chicken HostG	HostGenomics
CB12.18F1a	ERS10991916	ERR9353257	ERX8895190	Chicken HostG	HostGenomics
CB13.04F1a	ERS10991919	ERR9353228	ERX8895161	Chicken HostG	HostGenomics
CB13.05F1a	ERS10991920	ERR9286255	ERX8828360	Chicken HostG	HostGenomics
CB14.02F1a	ERS10991927	ERR9353905	ERX8895838	Chicken HostG	HostGenomics
CB14.10F1a	ERS10991931	ERR9354037	ERX8895970	Chicken HostG	HostGenomics
CB15.01F1a	ERS10991935	ERR9285412	ERX8827589	Chicken HostG	HostGenomics
CB15.04F1a	ERS10991938	ERR9353907	ERX8895840	Chicken HostG	HostGenomics
CB15.07F1a	ERS10991940	ERR9286271	ERX8828376	Chicken HostG	HostGenomics
CB15.17F1a	ERS10991943	ERR9286172	ERX8828285	Chicken HostG	HostGenomics
CB16.03F1a	ERS10991946	ERR9353249	ERX8895182	Chicken HostG	HostGenomics
CB17.08F1a	ERS10991958	ERR9353473	ERX8895406	Chicken HostG	HostGenomics
CB18.03F1a	ERS10991965	ERR9288564	ERX8830214	Chicken HostG	HostGenomics
CB18.09F1a	ERS10991969	ERR9288541	ERX8830191	Chicken HostG	HostGenomics
CB18.14F1a	ERS10991972	ERR9356871	ERX8898773	Chicken HostG	HostGenomics
CB19.09F1a	ERS10991978	ERR9286200	ERX8828305	Chicken HostG	HostGenomics
CB19.14F1a	ERS10991982	ERR9288348	ERX8829998	Chicken HostG	HostGenomics
CB20.02F1a	ERS10991985	ERR9288368	ERX8830018	Chicken HostG	HostGenomics
CB20.03F1a	ERS10991986	ERR9285742	ERX8827855	Chicken HostG	HostGenomics
CB20.07F1a	ERS10991989	ERR9286951	ERX8829056	Chicken HostG	HostGenomics
CB20.13F1a	ERS10991993	ERR9356879	ERX8898781	Chicken HostG	HostGenomics
CB21.03F1a	ERS10992000	ERR9353850	ERX8895783	Chicken HostG	HostGenomics
CB21.11F1a	ERS10992004	ERR9288274	ERX8829924	Chicken HostG	HostGenomics
CB21.13F1a	ERS10992006	ERR9288545	ERX8830195	Chicken HostG	HostGenomics
CB22.08F1a	ERS10992012	ERR9353288	ERX8895221	Chicken HostG	HostGenomics
CB22.10F1a	ERS10992013	ERR9286161	ERX8828274	Chicken HostG	HostGenomics
CB22.15F1a	ERS10992015	ERR9353227	ERX8895160	Chicken HostG	HostGenomics
CB23.10F1a	ERS10992021	ERR9353466	ERX8895399	Chicken HostG	HostGenomics
CB23.14F1a	ERS10992024	ERR9286944	ERX8829049	Chicken HostG	HostGenomics
CB23.18F1a	ERS10992026	ERR9285404	ERX8827581	Chicken HostG	HostGenomics
CB24.15F1a	ERS10992032	ERR9352820	ERX8894753	Chicken HostG	HostGenomics
CC01.06F1a	ERS10992037	ERR9353504	ERX8895437	Chicken HostG	HostGenomics
CC01.09F1a	ERS10992040	ERR9353317	ERX8895250	Chicken HostG	HostGenomics
CC01.10F1a	ERS10992042	ERR9288744	ERX8830394	Chicken HostG	HostGenomics
CC01.11F1a	ERS10992044	ERR9353271	ERX8895204	Chicken HostG	HostGenomics
CC01.17F1a	ERS10992049	ERR9353467	ERX8895400	Chicken HostG	HostGenomics
